s_no,key,num_equality_compares,cumulative_avg
1,foolishness,0,0.00
2,incredulity,0,0.00
3,darkness,0,0.00
4,everything,0,0.00
5,noisiest,0,0.00
6,authorities,0,0.00
7,insisted,2,0.29
8,received,2,0.50
9,superlative,2,0.67
10,comparison,4,1.00
11,countries,0,0.91
12,preserves,2,1.00
13,thousand,0,0.92
14,seventyfive,2,1.00
15,spiritual,4,1.20
16,revelations,4,1.38
17,conceded,2,1.41
18,favoured,4,1.56
19,southcott,6,1.79
20,recently,6,2.00
21,attained,8,2.29
22,fiveandtwentieth,4,2.36
23,birthday,8,2.61
24,prophetic,6,2.75
25,heralded,6,2.88
26,appearance,2,2.85
27,announcing,10,3.11
28,arrangements,4,3.14
29,swallowing,6,3.24
30,westminster,8,3.40
31,cocklane,4,3.42
32,messages,12,3.69
33,supernaturally,1,3.61
34,deficient,6,3.68
35,originality,2,3.63
36,messages,8,3.75
37,congress,0,3.65
38,subjects,8,3.76
39,important,8,3.87
40,communications,6,3.92
41,received,4,3.93
42,chickens,6,3.98
43,cocklane,4,3.98
44,favoured,6,4.02
45,spiritual,4,4.02
46,exceeding,2,3.98
47,smoothness,8,4.06
48,spending,10,4.19
49,guidance,2,4.14
50,christian,2,4.10
51,entertained,4,4.10
52,achievements,4,4.10
53,sentencing,4,4.09
54,procession,10,4.20
55,distance,4,4.20
56,sufferer,4,4.20
57,framework,2,4.16
58,terrible,6,4.19
59,outhouses,8,4.25
60,adjacent,4,4.25
61,sheltered,4,4.25
62,bespattered,10,4.34
63,tumbrils,6,4.37
64,revolution,10,4.45
65,unceasingly,6,4.48
66,silently,6,4.50
67,forasmuch,12,4.61
68,entertain,8,4.66
69,suspicion,12,4.77
70,atheistical,4,4.76
71,traitorous,4,4.75
72,scarcely,2,4.71
73,protection,2,4.67
74,national,2,4.64
75,boasting,2,4.60
76,burglaries,4,4.59
77,robberies,4,4.58
78,families,10,4.65
79,publicly,6,4.67
80,cautioned,8,4.71
81,removing,4,4.70
82,furniture,12,4.79
83,upholsterers,4,4.78
84,warehouses,4,4.77
85,security,0,4.72
86,highwayman,2,4.69
87,tradesman,4,4.68
88,recognised,2,4.65
89,challenged,8,4.69
90,tradesman,2,4.66
91,character,10,4.71
92,gallantly,6,4.73
93,consequence,2,4.70
94,ammunition,4,4.69
95,magnificent,4,4.68
96,potentate,2,4.66
97,highwayman,2,4.63
98,despoiled,6,4.64
99,illustrious,4,4.64
100,creature,4,4.63
101,prisoners,8,4.66
102,turnkeys,4,4.66
103,blunderbusses,6,4.67
104,drawingrooms,4,4.66
105,musketeers,6,4.68
106,contraband,4,4.67
107,musketeers,2,4.64
108,musketeers,2,4.62
109,occurrences,8,4.65
110,constant,14,4.74
111,requisition,4,4.73
112,stringing,12,4.79
113,miscellaneous,4,4.79
114,criminals,4,4.78
115,housebreaker,6,4.79
116,saturday,10,4.84
117,pamphlets,6,4.85
118,westminster,4,4.84
119,atrocious,4,4.83
120,murderer,4,4.83
121,tomorrow,6,4.83
122,wretched,10,4.88
123,pilferer,8,4.90
124,sixpence,10,4.94
125,thousand,6,4.95
126,thousand,6,4.96
127,seventyfive,8,4.98
128,environed,4,4.98
129,unheeded,6,4.98
130,thousand,6,4.99
131,seventyfive,8,5.02
132,greatnesses,8,5.04
133,creaturesthe,14,5.11
134,creatures,10,5.14
135,chronicle,6,5.15
136,restalong,4,5.14
137,november,4,5.13
138,business,8,5.15
139,lumbered,12,5.20
140,shooters,0,5.16
141,passengers,10,5.20
142,exercise,6,5.20
143,circumstances,6,5.21
144,mutinous,4,5.20
145,blackheath,0,5.17
146,coachman,2,5.14
147,combination,2,5.12
148,otherwise,2,5.10
149,strongly,4,5.09
150,argument,6,5.10
151,capitulated,2,5.08
152,returned,2,5.06
153,drooping,4,5.05
154,tremulous,6,5.06
155,floundering,2,5.04
156,stumbling,4,5.03
157,sohothen,4,5.03
158,violently,6,5.03
159,everything,2,5.01
160,unusually,2,4.99
161,emphatic,6,5.00
162,whenever,4,4.99
