s_no,key,num_equality_compares,cumulative_avg
1,foolishness,0,0.00
2,incredulity,0,0.00
3,darkness,0,0.00
4,everything,0,0.00
5,noisiest,0,0.00
6,authorities,0,0.00
7,insisted,0,0.00
8,received,0,0.00
9,superlative,0,0.00
10,comparison,0,0.00
11,countries,0,0.00
12,preserves,2,0.17
13,thousand,0,0.15
14,seventyfive,0,0.14
15,spiritual,0,0.13
16,revelations,0,0.12
17,conceded,0,0.12
18,favoured,0,0.11
19,southcott,0,0.11
20,recently,0,0.10
21,attained,2,0.19
22,fiveandtwentieth,0,0.18
23,birthday,0,0.17
24,prophetic,0,0.17
25,heralded,0,0.16
26,appearance,0,0.15
27,announcing,2,0.22
28,arrangements,0,0.21
29,swallowing,0,0.21
30,westminster,0,0.20
31,cocklane,2,0.26
32,messages,0,0.25
33,supernaturally,0,0.24
34,deficient,0,0.24
35,originality,0,0.23
36,messages,2,0.28
37,congress,0,0.27
38,subjects,0,0.26
39,important,0,0.26
40,communications,0,0.25
41,received,2,0.29
42,chickens,0,0.29
43,cocklane,2,0.33
44,favoured,2,0.36
45,spiritual,2,0.40
46,exceeding,0,0.39
47,smoothness,0,0.38
48,spending,6,0.50
49,guidance,0,0.49
50,christian,0,0.48
51,entertained,0,0.47
52,achievements,0,0.46
53,sentencing,0,0.45
54,procession,0,0.44
55,distance,2,0.47
56,sufferer,0,0.46
57,framework,6,0.56
58,terrible,0,0.55
59,outhouses,2,0.58
60,adjacent,0,0.57
61,sheltered,12,0.75
62,bespattered,2,0.77
63,tumbrils,0,0.76
64,revolution,8,0.88
65,unceasingly,2,0.89
66,silently,0,0.88
67,forasmuch,0,0.87
68,entertain,4,0.91
69,suspicion,4,0.96
70,atheistical,0,0.94
71,traitorous,0,0.93
72,scarcely,6,1.00
73,protection,2,1.01
74,national,2,1.03
75,boasting,0,1.01
76,burglaries,0,1.00
77,robberies,0,0.99
78,families,0,0.97
79,publicly,0,0.96
80,cautioned,0,0.95
81,removing,0,0.94
82,furniture,6,1.00
83,upholsterers,0,0.99
84,warehouses,0,0.98
85,security,0,0.96
86,highwayman,4,1.00
87,tradesman,2,1.01
88,recognised,8,1.09
89,challenged,2,1.10
90,tradesman,4,1.13
91,character,2,1.14
92,gallantly,0,1.13
93,consequence,2,1.14
94,ammunition,0,1.13
95,magnificent,0,1.12
96,potentate,0,1.10
97,highwayman,6,1.15
98,despoiled,0,1.14
99,illustrious,0,1.13
100,creature,6,1.18
101,prisoners,0,1.17
102,turnkeys,6,1.22
103,blunderbusses,0,1.20
104,drawingrooms,0,1.19
105,musketeers,0,1.18
106,contraband,0,1.17
107,musketeers,2,1.18
108,musketeers,2,1.19
109,occurrences,0,1.17
110,constant,2,1.18
111,requisition,0,1.17
112,stringing,2,1.18
113,miscellaneous,0,1.17
114,criminals,0,1.16
115,housebreaker,6,1.20
116,saturday,0,1.19
117,pamphlets,0,1.18
118,westminster,2,1.19
119,atrocious,4,1.21
120,murderer,2,1.22
121,tomorrow,2,1.22
122,wretched,2,1.23
123,pilferer,2,1.24
124,sixpence,0,1.23
125,thousand,2,1.23
126,thousand,2,1.24
127,seventyfive,2,1.24
128,environed,0,1.23
129,unheeded,0,1.22
130,thousand,2,1.23
131,seventyfive,2,1.24
132,greatnesses,0,1.23
133,creaturesthe,0,1.22
134,creatures,2,1.22
135,chronicle,4,1.24
136,restalong,0,1.24
137,november,6,1.27
138,business,2,1.28
139,lumbered,0,1.27
140,shooters,0,1.26
141,passengers,2,1.26
142,exercise,2,1.27
143,circumstances,0,1.26
144,mutinous,1,1.26
145,blackheath,0,1.25
146,coachman,0,1.24
147,combination,0,1.23
148,otherwise,0,1.22
149,strongly,0,1.21
150,argument,2,1.22
151,capitulated,0,1.21
152,returned,2,1.22
153,drooping,0,1.21
154,tremulous,0,1.20
155,floundering,4,1.22
156,stumbling,0,1.21
157,sohothen,0,1.20
158,violently,4,1.22
159,everything,2,1.23
160,unusually,2,1.23
161,emphatic,0,1.22
162,whenever,2,1.23
